교육명,검색어_원본,검색어_개선,개선_단어수,개선율
긴급복지지원 신고의무 교육,긴급복지지원 신고의무 교육,긴급복지 지원 신고 교육,4,1.3333333333333333
역량평가의 이해(사전학습),역량평가의 이해(사전학습),역량평가 이해 사전학습,3,1.5
역량평가의 이해(사후학습),역량평가의 이해(사후학습),역량평가 이해 사후학습,3,1.5
그리스 로마 신화를 통해 배우는 인문학,그리스 로마 신화를 통해 배우는 인문학,그리스 로마 신화를 통해 배우는 인문학,6,1.0
더 나은 내 삶을 위한 긍정의 힘,더 나은 내 삶을 위한 긍정의 힘,나은 삶을 위한 긍정의,4,0.5714285714285714
보건복지인(人)을위한문제해결능력향상,보건복지인(人)을위한문제해결능력향상,보건복지 위한 문제해결 능력향상,4,4.0
보건복지인의 셀프 동기부여,보건복지인의 셀프 동기부여,보건복지 인의 셀프 동기부여,4,1.3333333333333333
삶을 변화시키는 매일 작은 습관만들기,삶을 변화시키는 매일 작은 습관만들기,삶을 변화시키는 매일 작은 습관만들기,5,1.0
"성공하는 인생의 지름길, 셀프 리더십","성공하는 인생의 지름길, 셀프 리더십","성공하는 인생의 지름길, 셀프 리더십",5,1.0
절대 강대국은 없다. 강대국의 흥망성쇠,절대 강대국은 없다. 강대국의 흥망성쇠,절대 강대국은 없다. 강대국의 흥망성쇠,5,1.0
"절대역사서, 사기를 통해 배우는 인문학","절대역사서, 사기를 통해 배우는 인문학","절대역사서, 사기를 통해 배우는 인문학",5,1.0
존중과 사랑의 소통처방전,존중과 사랑의 소통처방전,존중과 사랑의 소통처방전,3,1.0
플라톤을 통해 배우는 국가,플라톤을 통해 배우는 국가,플라톤을 통해 배우는 국가,4,1.0
보건복지 동행(with 명강사) - 회복지원편,보건복지 동행(with 명강사) - 회복지원편,보건복지 동행 회복지원편 with 명강사,5,1.0
KOHI 공개강의(LIVE 명사특강쇼) - MZ(미지)세계의 보건복지,KOHI 공개강의(LIVE 명사특강쇼) - MZ(미지)세계의 보건복지,공개강의 세계의 보건복지 LIVE 명사특강쇼 미지 KOHI MZ,8,1.3333333333333333
"보건의료, 미래 선도하는 취업 JOB GO!","보건의료, 미래 선도하는 취업 JOB GO!","보건 료, 미래 선도하는 취업 JOB GO",7,1.1666666666666667
창의적인정책개발의첫걸음,창의적인정책개발의첫걸음,창의적인 정책개발 첫걸음,3,3.0
취업코치의꿀팁대방출(스펙부터AI면접까지),취업코치의꿀팁대방출(스펙부터AI면접까지),취업코치 꿀팁대방출 스펙부터AI면접까지,3,3.0
KOHI공개강의나이들수록 행복해지려면,KOHI공개강의나이들수록 행복해지려면,공개강의 나이들수록 행복해지려면 KOHI,4,2.0
KOHI공개강의 무례한세상속앞으로나아가는마음관리법8가지,KOHI공개강의 무례한세상속앞으로나아가는마음관리법8가지,공개강의 무례한세상속앞으로나아가는마음관리법8가지 KOHI,3,1.5
KOHI북토크-어른의대화법,KOHI북토크-어른의대화법,북토크 어른 대화법 KOHI,4,4.0
KOHI북토크-어바웃번아웃,KOHI북토크-어바웃번아웃,북토크 어바웃번아웃 KOHI,3,3.0
"감정노동, 상처받지않은것처럼일하기","감정노동, 상처받지않은것처럼일하기","감정노동, 상처받지않은 것처럼일하기",3,1.5
보건복지 강사 강의 역량레벨업,보건복지 강사 강의 역량레벨업,보건복지 강사 강의 역량레벨업,4,1.0
보건복지人힐링고민상담소,보건복지人힐링고민상담소,보건복지 힐링고민상담소,2,2.0
보건복지종사자를위한공문서작성기술,보건복지종사자를위한공문서작성기술,보건복지 종사자 위한 공문서 작성기술,5,5.0
사회복지현장저작권분쟁예방교육,사회복지현장저작권분쟁예방교육,사회복지 현장 저작권 분쟁예방교육,4,4.0
KOHI가 들려주는보건복지 이야기(복지),KOHI가 들려주는보건복지 이야기(복지),들려주는 보건복지 이야기 복지 KOHI,5,1.6666666666666667
보건복지동행(with명강사)_복지정책편,보건복지동행(with명강사)_복지정책편,보건복지 동행 복지정책 with명강사,4,4.0
사회복지가치와기본법제,사회복지가치와기본법제,사회복지 가치 기본법제,3,3.0
"사회복지 북토크 (언젠가, 충만한 사회복지)-사람을 옹호하라","사회복지 북토크 (언젠가, 충만한 사회복지)-사람을 옹호하라","사회복지 북토크 사람을 옹호하라 언젠가, 충만한 사회복지",7,1.1666666666666667
"사회복지 북토크 (언젠가, 충만한 사회복지) -사회복지, 평생 할 수 있을까?","사회복지 북토크 (언젠가, 충만한 사회복지) -사회복지, 평생 할 수 있을까?","사회복지 북토크 평생 까? 언젠가, 충만한 사회복지",7,0.7
"사회복지 북토크 (언젠가, 충만한 사회복지) -우리가 최선을 다하고 있다는 착각","사회복지 북토크 (언젠가, 충만한 사회복지) -우리가 최선을 다하고 있다는 착각","사회복지 북토크 우리가 최선을 다하고 있다는 착각 언젠가, 충만한 사회복지",10,1.0
"사회복지 북토크 (언젠가, 충만한 사회복지)-이번 생의 복지국가","사회복지 북토크 (언젠가, 충만한 사회복지)-이번 생의 복지국가","사회복지 북토크 이번 생의 복지국가 언젠가, 충만한 사회복지",8,1.1428571428571428
사회복지와 역사,사회복지와 역사,사회복지 역사,2,1.0
사회복지와 인권,사회복지와 인권,사회복지 인권,2,1.0
해결중심 상담기법,해결중심 상담기법,해결중심 상담기법,2,1.0
공공복지업무 핵심만 콕! 읍면동복지매뉴얼,공공복지업무 핵심만 콕! 읍면동복지매뉴얼,공공복지업무 핵심만 읍면동복지매뉴얼,3,0.75
국민기초생활보장제도 바로알기(공통),국민기초생활보장제도 바로알기(공통),국민기초 생활보장 제도 바로알기 공통,5,2.5
긴급지원담당공무원 교육,긴급지원담당공무원 교육,긴급지원담당 공무원 교육,3,1.5
메리토크라시 관점에서 본 복지와 철학,메리토크라시 관점에서 본 복지와 철학,메리토크라시 관점에서 복지와 철학,4,0.8
보건복지 동행(with 명강사)-사례관리편,보건복지 동행(with 명강사)-사례관리편,보건복지 동행 사례관리 with 명강사,5,1.6666666666666667
보건복지 우수사례를 찾아서 -찾아가는 보건복지서비스편,보건복지 우수사례를 찾아서 -찾아가는 보건복지서비스편,보건복지 우수사례를 찾아서 찾아가는 서비스편,5,1.0
"복지 어벤져스, 우리가 간다","복지 어벤져스, 우리가 간다","복지 어벤져스, 우리가 간다",4,1.0
사례관리실천 우수사례연구,사례관리실천 우수사례연구,사례관리 실천 우수사례연구,3,1.5
쉽게 이해하는 기초생활보장제도,쉽게 이해하는 기초생활보장제도,쉽게 이해하는 기초 생활보장 제도,5,1.6666666666666667
쉽게 이해하는 기초연금사업,쉽게 이해하는 기초연금사업,쉽게 이해하는 기초연금 사업,4,1.3333333333333333
우수사례로 보는 사례관리실천,우수사례로 보는 사례관리실천,우수사례로 보는 사례관리 실천,4,1.3333333333333333
위기임신 보호출산제도의 이해,위기임신 보호출산제도의 이해,위기임신 보호출산제도의 이해,3,1.0
"주민과 함께 걷는 길, 사례관리","주민과 함께 걷는 길, 사례관리","주민과 함께 걷는 길, 사례관리",5,1.0
지역복지리더 양성을 위한 업무가이드,지역복지리더 양성을 위한 업무가이드,지역복지리더 양성을 위한 업무가이드,4,1.0
키워드로 보는 사회복지현장,키워드로 보는 사회복지현장,키워드로 보는 사회복지 현장,4,1.3333333333333333
통합사례관리 기록가이드,통합사례관리 기록가이드,통합 사례관리 기록가이드,3,1.5
핵심만 콕! 지역사회보장계획,핵심만 콕! 지역사회보장계획,핵심만 지역 사회보장 계획,4,1.3333333333333333
"사회복지시설안전관리,이것만알면끝!","사회복지시설안전관리,이것만알면끝!","사회복지 시설안전관리,이것만알면끝",2,2.0
노인상담사례관리기본과정,노인상담사례관리기본과정,노인상담 사례관리 기본,3,3.0
"노인인권, 마음의온도를더하다","노인인권, 마음의온도를더하다","노인인권, 마음 온도 더하다",4,2.0
노인학대신고의무자(2025년노인학대신고의무자교육),노인학대신고의무자(2025년노인학대신고의무자교육),노인학대신고 무자 2025년노인학대신고의무자교육,3,3.0
보건복지동행(with명강사)_노인복지편,보건복지동행(with명강사)_노인복지편,보건복지 동행 노인복지편 with명강사,4,4.0
요양보호사보수교육(온라인),요양보호사보수교육(온라인),요양보호사보수교육 온라인,2,2.0
치매전문교육(요양보호사과정),치매전문교육(요양보호사과정),치매전문교육 요양보호사과정,2,2.0
치매전문교육(프로그램관리자과목),치매전문교육(프로그램관리자과목),치매전문교육 프로그램관리자과목,2,2.0
"미래사회, 장애인지원의다방면실천과전략","미래사회, 장애인지원의다방면실천과전략","미래사회, 장애인지원 다방면실천 전략",4,2.0
발달장애인가족에대한이해,발달장애인가족에대한이해,발달장애인가족에대한이해,1,1.0
발달장애인생애주기별욕구와지원,발달장애인생애주기별욕구와지원,발달장애인생애주기별욕구 지원,2,2.0
발달장애인아동부모교육,발달장애인아동부모교육,발달장애인아동부모교육,1,1.0
"발달장애인응급상황대처,빠르게!스마트하게!","발달장애인응급상황대처,빠르게!스마트하게!","발달장애인응급상황대처,빠르게 스마트하게",2,2.0
일상에서실천하는장애인권익옹호,일상에서실천하는장애인권익옹호,일상 에서 실천하는장애인권익옹호,3,3.0
장애인거주시설서비스최저기준의적용과딜레마,장애인거주시설서비스최저기준의적용과딜레마,장애인거주시설 서비스최저기준 적용 딜레마,4,4.0
장애인거주시설안전관리,장애인거주시설안전관리,장애인거주 시설안전관리,2,2.0
장애인주간이용시설서비스최저기준이해와적용,장애인주간이용시설서비스최저기준이해와적용,장애인주간이용시설 서비스최저기준이해 적용,3,3.0
장애와인권,장애와인권,장애 인권,2,2.0
가정위탁지원센터 종사자 보수교육(정서행동장애),가정위탁지원센터 종사자 보수교육(정서행동장애),가정위탁 지원센터 종사자 보수교육 정서행동장애,5,1.6666666666666667
가정위탁지원센터 종사자 보수교육(특수욕구아동의 이해),가정위탁지원센터 종사자 보수교육(특수욕구아동의 이해),가정위탁 지원센터 종사자 보수교육 특수욕구아동의 이해,6,1.5
경계선지능아동지도사 양성교육,경계선지능아동지도사 양성교육,경계선지능아동지도사 양성교육,2,1.0
경계선지능아동지도사 양육자교육,경계선지능아동지도사 양육자교육,경계선지능아동지도사 양육자교육,2,1.0
다함께돌봄센터 종사자 필수교육(기존돌봄선생님),다함께돌봄센터 종사자 필수교육(기존돌봄선생님),다함께 돌봄센터 종사자 필수교육 기존돌봄선생님,5,1.6666666666666667
다함께돌봄센터 종사자 필수교육(기존센터장),다함께돌봄센터 종사자 필수교육(기존센터장),다함께 돌봄센터 종사자 필수교육 기존센터장,5,1.6666666666666667
다함께돌봄센터 종사자 필수교육(신규돌봄선생님),다함께돌봄센터 종사자 필수교육(신규돌봄선생님),다함께 돌봄센터 종사자 필수교육 신규돌봄선생님,5,1.6666666666666667
다함께돌봄센터 종사자 필수교육(신규센터장),다함께돌봄센터 종사자 필수교육(신규센터장),다함께 돌봄센터 종사자 필수교육 신규센터장,5,1.6666666666666667
보건복지상담센터 상담사교육,보건복지상담센터 상담사교육,보건복지 상담센터 상담사교육,3,1.5
보호대상아동 공공후견제도 및 실무이해,보호대상아동 공공후견제도 및 실무이해,보호대상아동 공공후견제도 실무이해,3,0.75
사례로 보는 아동복지 실천현장에서의 인권,사례로 보는 아동복지 실천현장에서의 인권,사례로 보는 아동복지 실천현장 에서 인권,6,1.2
신설아동보호전문기관교육,신설아동보호전문기관교육,신설아동보호전문기관교육,1,1.0
"아동, 권리를 만나다","아동, 권리를 만나다","아동, 권리를 만나다",3,1.0
아동발달 얼마나 알고 계신가요?,아동발달 얼마나 알고 계신가요?,아동발달 얼마나 알고 계신가요?,4,1.0
아동복지론,아동복지론,아동복지론,1,1.0
아동상담의 첫걸음,아동상담의 첫걸음,아동상담의 첫걸음,2,1.0
아동보호서비스 바로알기,아동보호서비스 바로알기,아동보 호서비스 바로알기,3,1.5
아동학대전담공무원 입문과정(이론교육),아동학대전담공무원 입문과정(이론교육),아동학 대전담 공무원 입문 이론교육,5,2.5
아동학대전담공무원 기본교육,아동학대전담공무원 기본교육,아동학 대전담 공무원 기본교육,4,2.0
어린이삼킴·이물질사고예방을 위한 보호자교육,어린이삼킴·이물질사고예방을 위한 보호자교육,어린이삼킴·이물질사고예방을 위한 보호자교육,3,1.0
어린이생활안전교육(가정편),어린이생활안전교육(가정편),어린이생활안전교육 가정편,2,2.0
어린이생활안전교육(발달단계별),어린이생활안전교육(발달단계별),어린이생활안전교육 발달단계별,2,2.0
어린이생활안전교육(실외편),어린이생활안전교육(실외편),어린이생활안전교육 실외편,2,2.0
어린이화상안전·인식개선교육,어린이화상안전·인식개선교육,어린이화상안전·인식개선교육,1,1.0
어린이 화상사고 예방을 위한 보호자교육,어린이 화상사고 예방을 위한 보호자교육,어린이 화상사고 예방을 위한 보호자교육,5,1.0
온라인 학습자료를 활용한영유아아동안전교육,온라인 학습자료를 활용한영유아아동안전교육,온라인 학습자료를 활용한영유아아동안전교육,3,1.0
영유아를 위한 보건위생관리교육,영유아를 위한 보건위생관리교육,영유아를 위한 보건위생관리교육,3,1.0
영유아를 위한 실종·유괴예방·방지교육,영유아를 위한 실종·유괴예방·방지교육,영유아를 위한 실종·유괴예방·방지교육,3,1.0
영유아를 위한 성폭력예방교육,영유아를 위한 성폭력예방교육,영유아를 위한 성폭력예방교육,3,1.0
영유아를 위한 아동학대예방교육,영유아를 위한 아동학대예방교육,영유아를 위한 아동학대 예방교육,4,1.3333333333333333
영유아를 위한 응급처치 및 생활안전교육,영유아를 위한 응급처치 및 생활안전교육,영유아를 위한 응급처치 생활안전교육,4,0.8
영유아를 위한 재난대비안전교육,영유아를 위한 재난대비안전교육,영유아를 위한 재난대비안전교육,3,1.0
영유아를 위한 교통안전교육,영유아를 위한 교통안전교육,영유아를 위한 교통안전교육,3,1.0
워크북을 활용한 아동안전교수법-교통안전교육,워크북을 활용한 아동안전교수법-교통안전교육,워크북을 활용한 아동안 전교수법 교통안전교육,5,1.6666666666666667
워크북을 활용한 아동안전교수법-보건위생관리교육,워크북을 활용한 아동안전교수법-보건위생관리교육,워크북을 활용한 아동안 전교수법 보건위생관리교육,5,1.6666666666666667
워크북을 활용한 아동안전교수법-성폭력예방교육,워크북을 활용한 아동안전교수법-성폭력예방교육,워크북을 활용한 아동안 전교수법 성폭력예방교육,5,1.6666666666666667
워크북을 활용한 아동안전교수법-실종·유괴예방·방지교육,워크북을 활용한 아동안전교수법-실종·유괴예방·방지교육,워크북을 활용한 아동안 전교수법 실종·유괴예방·방지교육,5,1.6666666666666667
워크북을 활용한 아동안전교수법-아동학대예방교육,워크북을 활용한 아동안전교수법-아동학대예방교육,워크북을 활용한 아동안 전교수법 아동학대 예방교육,6,2.0
워크북을 활용한 아동안전교수법-재난대비안전교육,워크북을 활용한 아동안전교수법-재난대비안전교육,워크북을 활용한 아동안 전교수법 재난대비안전교육,5,1.6666666666666667
어린이집 지도점검 담당자업무매뉴얼교육,어린이집 지도점검 담당자업무매뉴얼교육,어린이집 지도점검 담당자업무 매뉴얼교육,4,1.3333333333333333
지역아동센터에서의 아동권리교육,지역아동센터에서의 아동권리교육,지역아동센터 에서 아동권 리교육,4,2.0
중대재해처벌법의 이해,중대재해처벌법의 이해,중대재해처벌법의 이해,2,1.0
중·고등학생을 위한 마약류 및 약물예방교육,중·고등학생을 위한 마약류 및 약물예방교육,중·고등학생을 위한 마약류 약물예방교육,4,0.8
중·고등학생을 위한 사례로 배우는 마약류 및 약물예방교육,중·고등학생을 위한 사례로 배우는 마약류 및 약물예방교육,중·고등학생을 위한 사례로 배우는 마약류 약물예방교육,6,0.8571428571428571
초등학생을 위한 마약류 및 약물예방교육,초등학생을 위한 마약류 및 약물예방교육,초등학생을 위한 마약류 약물예방교육,4,0.8
초등학생을 위한 사례로 배우는 마약류 및 약물예방교육,초등학생을 위한 사례로 배우는 마약류 및 약물예방교육,초등학생을 위한 사례로 배우는 마약류 약물예방교육,6,0.8571428571428571
초등학생 종사자를 위한성폭력안전교수법,초등학생 종사자를 위한성폭력안전교수법,초등학생 종사자를 위한성폭력안전교수법,3,1.0
초등학생 종사자를 위한아동학대안전교수법,초등학생 종사자를 위한아동학대안전교수법,초등학생 종사자를 위한아동학대안전교수법,3,1.0
초등학생 종사자를 위한 실종·유괴의 예방·방지 안전 교수법,초등학생 종사자를 위한 실종·유괴의 예방·방지 안전 교수법,초등학생 종사자를 위한 실종·유괴의 예방·방지 안전 교수법,7,1.0
초등학생 종사자를 위한보건위생관리 안전 교수법,초등학생 종사자를 위한보건위생관리 안전 교수법,초등학생 종사자를 위한보건위생관리 안전 교수법,5,1.0
초등학생 종사자를 위한재난대비 안전 교수법,초등학생 종사자를 위한재난대비 안전 교수법,초등학생 종사자를 위한재난대비 안전 교수법,5,1.0
초등학생 종사자를 위한교통안전 교수법,초등학생 종사자를 위한교통안전 교수법,초등학생 종사자를 위한교통안전 교수법,4,1.0
초등학생 종사자를 위한 응급처치 및 심폐소생술,초등학생 종사자를 위한 응급처치 및 심폐소생술,초등학생 종사자를 위한 응급처치 심폐소생술,5,0.8333333333333334
중·고등학생 종사자를 위한성폭력 예방 안전 교수법,중·고등학생 종사자를 위한성폭력 예방 안전 교수법,중·고등학생 종사자를 위한성폭력 예방 안전 교수법,6,1.0
중·고등학생 종사자를 위한 아동학대 예방 안전 교수법,중·고등학생 종사자를 위한 아동학대 예방 안전 교수법,중·고등학생 종사자를 위한 아동학대 예방 안전 교수법,7,1.0
중·고등학생 종사자를 위한 실종·유괴의 예방·방지 안전 교수법,중·고등학생 종사자를 위한 실종·유괴의 예방·방지 안전 교수법,중·고등학생 종사자를 위한 실종·유괴의 예방·방지 안전 교수법,7,1.0
